ID Producto,ID Combinacion,Nombre del Producto,Referencia,EAN,"Atributos (Ej: XL, Roja)",Stock
9727,0,Escopeta Beretta Xplor Unico Kick-Off(SA),,,,1
9726,14563,Escopeta Browning Maxus Gold (SA),,,"12 , 71",1
9725,14565,Escopeta Beretta Xplor Unico(SA),,,71,1
9724,14561,Escopeta Beretta 391 Teknys Stone Coat(SA),,,76,1
9723,14559,Rifle Bergara Scout(SA),,,"243 win, Cerrojo",1
9722,14557,Rifle Bergara BA13 Thumbhole(SA),,,"308 win, Monotiro",1
9721,14549,Visor Swarovski Z8i 2-16x50 P 2ª Gen,SW000044,9006325103342,"2-16×50, 4A-I, DE CARRIL ",2
9720,0,Monocular Térmico Thermtec Wild 650DL Pro,,,,1
9719,0,Cronógrafo Garmin Xero C2,010-03953-01,,,2
9718,14540,Rifle Bergara HMR(SA),,,"6,5 Creed, Cerrojo",1
9717,14538,Rifle Blaser R8 Success (SA),,,"300 Win Mag, Cerrojo",1
9716,0,Linterna LED para arma Olight PL X,OL-2048,6977261695556,,3
9715,0,Visor Punto Rojo Osight XR  Multi Retícula,OS-015,6978095650247,,3
9714,0,Visor punto verde Osight X GN multi retícula,OS-008,6978095650230,,2
9713,0,Cámara Zeiss Secacam 1,,,,4
9712,0,Visor nocturno Pard NV007SP2 4K (PL),,,,1
9711,14536,Escopeta Beretta 682 Gold E Trap(PL),,,76,1
9710,14534,Rifle Blaser R8 Professional(PL),,,"300, Cerrojo",1
9709,0,Monocular Térmico HIKMICRO LYNX LE10 3.0.,HM-053,6974004648701,,3
9708,14532,Rifle Bergara B14 Sporter(SA),,,"308, Cerrojo",1
9707,0,Funda Beretta Gamekeeper Evo cañón,FO911T24010999UNI,8051832690695,,2
9706,14529,Escopeta Beretta 687 EELL(SA),,,71,1
9705,0,Multiherramienta Leatherman Bond,832936,37447010842,,0
9704,0,Multiherramienta Leatherman Rebar,832932,37447007545,,0
9703,0,Multiherramienta Leatherman Curl,832932,37447007545,,0
9702,0,Multiherramienta Leatherman Wingman,832523,37447000652,,0
9701,14528,Escopeta Benelli 828U(SA),,,71,1
9700,0,"Rifle Benelli Argo 9,3x62  (SA)",,,,1
9699,14526,Rifle Zoli (SA),,,"30-06, Cerrojo",1
9698,0,Rifle Browning BAR II 7 mm con Base Warne (SA),,,,1
9697,14522,copia de Rifle Blaser R93 Off Road (SA),,,"308, Cerrojo",1
9696,14521,Rifle Blaser R93(SA),,,"338, Cerrojo",1
9695,14525,Rifle Blaser R93 Off Road (SA),,,30-06,1
9694,14519,Rifle Mauser Caja Larga(SA),,,"9.3x62, Cerrojo",1
9693,0,Multiherramienta Leatherman Rev,832130,37447413087,,0
9692,14513,Visor Swarovski Z6i 4-24x56 BT,SW000066,9006325102635,DE ANILLAS ,1
9691,14511,"Visor Swarovski Z6i 2,5-15x50 BT",SW000064,9006325102611,"CON TORRETA BALISTICA , DE ANILLAS ",2
9691,14512,"Visor Swarovski Z6i 2,5-15x50 BT",SW000064,9006325102611,"DE ANILLAS , SIN TORRETA BALISTICA",0
